AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,282.2753167,275.2602256,268.4741455,262.7118644,257.1893709,252.1305027,247.0670747,242.6958398,239.0474386,235.4741861,232.0210538,228.9322964,226.2627137,223.9286034,221.926079,219.9405507,218.2146666,216.9916109,215.7073958,214.6575848,213.8857063,213.338576,213.163435,213.0592806,213.1329245,213.4106314
0,66.54719611,64.73865462,63.21823119,61.86147524,60.56470638,59.58899484,58.32789823,57.06035659,56.09091513,55.43207705,54.79188439,54.18091598,53.59374327,52.70911327,52.04591968,51.87651759,51.37656576,51.35381146,50.71502765,50.54122353,50.29572271,50.25730134,50.14539511,49.99723699,50.06714735,50.17717197
1,22.39752481,21.82212114,21.04343471,20.72878743,20.20146369,19.95625379,19.72640787,19.22362874,18.97923356,18.74612206,18.52788049,18.31599066,17.84739148,17.6520146,17.44769717,17.22764175,17.26118876,17.00565506,16.99817607,16.96645221,16.90866636,16.8271478,16.9910903,16.86447288,16.72708455,16.83615058
2,10.03964372,9.818474493,9.796604445,9.516357561,9.379066705,9.121364973,8.870672123,8.886484311,8.635476894,8.64398189,8.395655773,8.416279715,8.176668799,8.20508477,8.237965595,8.000992123,8.023353307,8.038876004,8.04549459,7.773933999,7.759498362,7.733240534,7.96158271,7.913844612,7.85526414,7.791671482
3,9.048511331,8.949598419,8.72784027,8.45405987,8.407412711,8.030921639,8.035293081,7.785635503,7.799419723,7.548446712,7.555821891,7.307041901,7.324895751,7.34580371,7.107937987,6.871943967,6.896588311,6.649767391,6.662580284,6.668000267,6.665120359,6.652828783,6.630437954,6.598848105,6.559493292,6.771662157
4,8.509520938,8.244949968,8.134421312,7.912018356,7.644237201,7.318902897,7.218708831,6.965405154,6.973896962,6.727420448,6.735402311,6.482629147,6.493034273,6.508806415,6.266204012,6.287742831,6.312666365,6.335195177,6.088006099,6.099695546,6.104633417,6.101993495,6.09079522,6.070411495,6.041629454,6.005739398
5,7.887796101,7.740584003,7.457445949,7.081821596,6.858518916,6.849697345,6.766815537,6.418402845,6.42254158,6.173157055,6.183941335,6.191263611,5.938993625,5.948501495,5.962905542,5.719752907,5.739315091,5.761967869,5.78244345,5.798339039,5.809424471,5.549829541,5.547439857,5.537302964,5.781653238,5.754372015
6,7.038031764,6.872101599,6.745313814,6.436591528,6.298474635,6.327632137,6.067677356,5.965387783,5.88479867,5.888580379,5.639398891,5.649217006,5.655883211,5.403924021,5.412559458,5.425634573,5.440886709,5.459430581,5.219908208,5.238378984,5.25274226,5.262735491,5.266948712,5.264688811,5.255102376,5.237665625
7,6.35399908,6.257281912,6.111214323,5.999484044,5.91951677,5.77443307,5.549697542,5.543837898,5.42837645,5.355257588,5.358701255,5.10969232,5.118558614,5.124591634,5.129415144,4.880705288,4.89245609,4.906163174,4.922828191,4.942137969,4.95954059,4.973105966,4.982534904,4.986510178,4.98437791,4.975319795
8,5.807948809,5.822674253,5.73510307,5.358665205,5.262169664,5.409213119,5.256169429,5.029997649,5.024702695,4.896232092,4.830481866,4.83356632,4.839377249,4.847748795,4.598000636,4.602326988,4.609610782,4.620674696,4.376170465,4.390966491,4.408147813,4.423621619,4.174760701,4.182651147,4.185988711,4.184204367
9,5.757873565,5.533602803,5.548269949,5.465634821,5.340628956,5.245970439,5.147677049,4.990717266,5.014680477,4.75897066,4.880943512,4.815612723,4.81866599,4.570534778,4.578405189,4.583745022,4.3331753,4.340011846,4.350374004,4.105890927,4.119729643,4.135798959,4.150260169,4.161540602,4.169370243,4.172686636
10,6.134282102,5.994313221,5.76253351,5.527082705,5.446333194,5.323505819,5.230106873,5.131996163,5.223991055,4.999043933,4.993838851,4.8653514,4.800446694,4.803456466,4.809207354,4.817474756,4.823051138,4.827573065,4.58070632,4.591596613,4.604340102,4.619820828,4.380139417,4.395394144,4.407290696,4.415555743
11,6.935659276,6.90120134,6.486018091,6.486451425,6.255379627,6.165775507,6.028047299,5.923061797,5.844592291,5.948972687,5.728275515,5.473521838,5.357716898,5.286516614,5.289819113,5.296102573,5.305200612,5.311332613,5.063124505,5.071058203,5.083082992,5.097138721,5.114200088,5.134010509,5.151824261,5.165729517
12,7.898749318,7.728252559,7.661033606,7.231610402,7.205049497,6.978627952,6.880037939,6.727381283,6.610625873,6.551513703,6.421108654,6.451604899,6.44488815,6.354136352,6.270024892,6.273942935,6.281336015,6.040402744,6.047343138,6.052971063,6.062420194,6.076726265,6.093481625,6.113785185,6.137408914,6.158591428
13,9.587741637,9.263170896,9.065510677,8.942626476,8.745587015,8.663645117,8.195489749,8.080659676,7.90196771,7.765299699,7.738337781,7.38329775,7.41822336,7.410545453,7.344458922,7.247599233,7.252130313,7.010243719,7.022216538,7.030221163,7.036758266,7.047686408,7.064258259,7.083684882,7.107203277,6.87977842
14,11.21435201,10.98802594,10.89874092,10.39493931,10.21817105,9.995822259,9.868587423,9.6540747,9.519241683,9.309397837,9.14886255,9.160147093,9.076669647,8.872950441,8.617622546,8.582076837,8.469267147,8.474586833,8.484420483,8.498863277,8.258247925,8.265942937,8.278716799,8.298139582,8.320862546,8.348396286
15,13.4605884,13.21490818,12.95155973,12.52069392,12.25970969,12.00768492,11.74902049,11.31177211,11.34947755,11.19147891,10.94557906,10.75736529,10.81281102,10.26970193,10.07217574,10.06186822,10.06263993,9.930757791,9.936999424,9.699803517,9.71623608,9.72718974,9.73624755,9.751243284,9.774044149,9.80069409
16,15.41041436,14.82488814,14.32499317,14.04285076,13.58063014,13.30155438,13.00907773,12.73074475,12.50352428,12.29909429,12.12835683,12.0999599,11.89249187,11.73925439,11.70155192,11.75623448,11.49956815,11.53625267,11.38551861,11.39262451,11.40578819,11.42502328,11.43783536,11.44845334,11.46603188,11.24294505
17,17.31885225,16.43447172,16.15724114,15.69744626,15.39450559,14.89468218,14.59323387,14.25019983,14.20013313,13.91953289,13.72056357,13.53080251,13.47197652,13.24184842,13.12597475,12.86977848,12.68569602,12.67280404,12.73848759,12.57277108,12.58055564,12.3480724,12.36884387,12.38265883,12.39410784,12.4130312
18,18.55501496,17.96251464,17.93919991,17.13524059,16.71187999,16.39944525,16.15090972,15.82925864,15.43799522,15.11127566,15.04177124,14.60431436,14.64366092,14.32629427,14.31399597,14.22783748,14.23365632,13.8146821,13.80070093,13.64569571,13.71428012,13.72271538,13.73836992,13.51555579,13.53055137,13.54297864
19,20.02692227,19.28140296,18.98276128,18.18714847,17.69021123,17.58488607,17.27298561,17.0061141,16.67204759,16.25190452,16.16095315,16.05432592,15.62552586,15.41339922,15.31532159,15.0585229,15.22751072,14.77379415,14.84119917,14.82632869,14.69824503,14.75257989,14.7615049,14.53586968,14.55982023,14.57577215
20,20.65384533,20.20214617,19.74310882,19.20833122,18.98108976,18.24872191,17.89313882,17.58637935,17.31352666,16.97779566,16.80149659,16.45476046,16.33894067,16.15359216,15.93688992,15.82884658,15.56641445,15.74690099,15.54265045,15.61272863,15.59726906,15.48920475,15.53303398,15.54231934,15.55950794,15.5849138
21,21.19869915,20.65465296,20.22047718,20.03283864,19.52174298,19.05601277,18.61441322,18.00082804,17.69509179,17.42148782,17.34549244,16.90766303,16.80510583,16.67784395,16.73066342,16.27553079,16.38890881,16.11919247,16.08298822,16.11955571,15.95699122,15.94135457,16.08232229,15.88138737,15.89087947,15.9082356
22,21.46851821,21.12189174,20.84735931,20.43318349,20.02194906,19.78876759,19.09148088,18.66345655,18.60554199,18.02419816,17.74393673,17.66271133,17.463146,17.35050551,16.97293514,17.02606037,16.80175199,16.67784157,16.62773928,16.60504225,16.41863353,16.49124396,16.47528649,16.38984067,16.42172876,16.43148131
23,22.19690996,21.6434431,21.32309825,20.82601799,20.43465718,20.04625488,19.83210491,19.15118828,18.72876527,18.67302452,18.62901123,18.33369915,17.98902923,17.77881691,17.66092925,17.73686781,17.79182639,17.55958286,17.42121368,17.57928808,17.13042792,17.18346904,17.02860115,17.01231554,17.17541986,17.19746407
24,23.0792672,22.92802453,22.39819321,21.87628839,21.39860308,21.2602046,20.91211254,20.71819757,20.32546472,19.66578651,19.63437037,19.31027915,18.99657035,18.89335332,18.64962204,18.5150019,19.01942273,18.61829282,18.83029818,18.66662519,18.58532852,18.38866003,18.0061084,18.0844659,18.06730184,18.01999986
25,24.53982305,24.04445553,23.93889138,23.43175444,22.95914707,22.73858762,22.36673353,22.0588776,21.88221896,21.52637365,21.1532435,20.8921483,20.54864893,20.7112393,20.57649311,20.51049413,20.33948011,20.32269703,20.38493164,20.12131571,20.15329794,20.04850867,20.11326,19.98714463,20.0738169,20.05483173
26,26.97135305,26.36122791,25.89366336,25.40537015,24.92738169,24.75580422,24.55017173,24.17508449,23.9223938,23.52568262,23.22121654,23.14164769,23.19907204,23.08154342,22.91481545,22.48993575,22.35109484,22.14442879,22.29324719,22.13313193,22.07326522,22.0654107,21.93053882,22.0429102,21.94848216,22.04335041
27,29.15791929,28.82320872,28.40483887,28.18582385,27.79296519,27.35261194,27.26937519,26.83616993,26.68577967,26.26538988,25.90376382,25.92658962,25.89824837,25.49431756,25.33983461,25.36168939,25.3911039,25.14238371,24.88149017,24.70957745,25.0120797,24.69110862,24.85015685,24.45508974,24.63100644,24.80413192
28,32.21766786,31.90803346,31.35385269,31.10961244,30.70764675,30.41787118,30.47208825,30.02030507,29.35578262,29.19178769,29.33169787,29.01501404,28.87823265,28.38922139,28.5788379,28.37477613,28.05580831,28.03566732,27.92629368,28.07950243,28.02513222,27.65681072,27.75054942,28.06672865,27.83760105,27.65578504
29,35.60045542,35.12912699,34.64295549,34.53527912,34.02219244,33.87955926,33.71261915,33.11764988,33.22173031,33.03608721,32.61739328,32.61649525,32.10257139,31.80637491,31.63083981,31.63772693,31.64433839,31.48392557,31.15388039,31.40300041,31.25459198,31.31780361,31.18651116,31.23500998,31.26168214,31.1980257
30,38.83761052,38.3727714,38.29778387,38.08026745,37.75597058,37.40665903,37.08571709,36.58482881,36.24571862,36.21267185,36.03183519,35.8315076,35.44299525,35.21466887,35.26408391,35.15312779,34.98531537,34.93802383,34.93441002,34.7886589,34.66323833,34.68443565,34.40657098,34.51040895,34.29389647,34.25924209
31,42.41443617,42.11535575,41.41796404,41.07534376,40.90404574,40.58665361,40.40482611,40.11502548,39.94610661,39.86641334,39.47702343,39.06562554,39.08270321,38.78985296,38.60900078,38.50819746,38.20121013,38.1097561,38.01239152,37.92045243,37.9668505,38.19664391,37.91649996,37.97889362,38.09352072,37.8315827
32,45.99805481,45.67380618,45.15565848,44.89412654,44.50135576,44.16492951,43.62934448,43.39022274,43.34510984,43.06370046,43.01319982,42.72260354,42.55129076,42.31532633,42.35819631,42.22797738,41.73234483,41.74135723,41.73841825,41.58294118,41.63959675,41.37197344,41.47401002,41.36283572,41.53346025,41.43369595
33,49.59542363,49.34667064,49.18322316,48.44436656,48.39905688,47.95525339,47.66996494,47.3516654,47.253014,47.02465638,47.09715873,46.40186517,46.21727987,46.28623454,46.02970435,45.70015646,45.61726626,45.47367363,45.55196571,45.38187007,45.16799267,45.37279011,45.28355752,45.00231525,45.05503566,44.87670686
34,54.25518928,53.83440041,53.40350341,52.93770773,52.6530676,52.37629706,51.86919809,51.63665011,51.5302162,51.34738339,51.15540468,50.92137267,50.71622453,50.43189642,50.27209182,50.22713176,50.02026061,49.9985976,49.48263022,49.63509252,49.56668489,49.54397608,49.37300049,49.2110848,49.25670915,49.45925707
35,59.39177424,58.71904405,58.53537265,57.92487554,57.37682958,57.10098733,57.0313939,56.66253321,56.48969504,56.15292975,56.09250949,55.72522241,55.42500389,55.26156001,54.88448458,54.96622161,54.66165835,54.82469323,54.62708479,54.49947133,54.48894233,54.27899403,54.18096442,54.3786054,54.12573408,54.22479849
36,64.7622517,64.46338165,64.27090298,63.64747424,63.32682221,63.12856702,62.63408654,62.31945931,62.07426042,61.52767257,61.4005262,61.23441245,60.91293258,60.79321638,60.6795427,60.47146649,60.32686834,60.22598751,60.31109472,59.94714416,59.72628797,59.5565973,59.73457414,59.54966532,59.59408416,59.73855165
37,71.19151811,70.75471698,70.23441015,69.84758581,69.2423154,68.98679347,68.90461728,68.40996958,67.84471099,67.50121393,67.46299456,67.10346254,67.03814276,66.76816007,66.62675064,66.56715672,66.07356659,66.17186382,65.80543992,66.05289516,65.52617028,65.72115168,65.6618949,65.72969123,65.70674692,65.57557585
38,77.87897003,77.44860815,76.97322431,76.6789495,75.88252844,75.52359267,75.10890792,74.68359792,74.18480259,74.25534084,73.7976855,73.617252,73.24492619,73.27175632,72.83954644,72.90843915,72.67986563,72.61041468,72.24908105,72.315857,72.27237803,71.83295794,71.9633714,71.76349205,71.98236825,71.85998892
39,85.15855651,84.84775242,83.95330977,83.42874187,82.91892546,82.61411778,82.04795297,81.24512131,80.91751095,80.63689784,80.45373245,80.10361228,80.00105787,79.61555802,79.51455181,79.3547265,78.97419051,78.80131169,78.92160766,78.80386983,78.60149973,78.73996846,78.14782355,78.21332685,78.38371253,78.2429614
40,92.80208517,91.93977561,91.26714245,90.41771344,89.85400405,89.35449773,88.63961808,88.31205696,87.79621271,87.33556351,86.82787709,86.61393776,86.5899758,85.90620584,85.72869944,85.50552178,85.1811893,85.22609088,85.11072906,84.72404419,84.61456425,84.61390535,84.44618775,84.42031586,84.66965682,84.70306092
41,100.4430299,100,98.80524999,97.76706557,96.96197521,96.13165331,95.63773233,95.40513995,94.8609476,93.95192983,93.58903939,93.0763861,92.83148206,92.48026634,91.86812848,91.67827302,91.55151819,91.28023794,91.08502506,91.25029934,91.05240429,90.7174059,90.68370619,90.69087009,90.50863664,90.18499196
