AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,282.2753167,269.6953079,262.646481,256.350501,250.0218736,244.1594149,238.8219886,233.3700552,228.6253932,224.2170464,219.3800968,215.4277549,211.6236023,207.8872307,203.9462235,200.852398,197.499966,194.4104287,191.5750281,189.0221738,185.9949795,183.7932591,181.2224084,179.0514969,176.80788,174.7235046
0,66.54719611,63.395529,61.89190869,60.53548794,59.23731951,57.4641875,56.20032766,54.93047447,53.9564999,52.75765319,51.84171708,50.68314986,49.81152396,48.91217697,48.2369137,47.51535425,46.73862241,45.90171059,45.27143887,44.30396845,43.81802883,43.28298792,42.69107571,42.07592074,41.69348513,41.09365995
1,22.39752481,21.30254682,20.77678541,20.20252374,19.93748549,19.42920156,18.93496104,18.69439405,18.44940646,17.68710715,17.20095479,16.9849577,16.77771919,16.31029126,16.10081255,15.87656108,15.90686664,15.64970562,15.3725414,15.07402423,15.02202336,14.68189669,14.3274078,14.21991895,14.10337776,13.97605953
2,10.03964372,9.818474493,9.538749882,9.251867556,9.117824435,8.860015661,8.608894031,8.623967574,8.372612661,8.11891327,8.13188341,7.888560929,7.911027313,7.673733999,7.438627998,7.465303005,7.218566152,7.232275234,7.23795584,6.966559176,6.685877421,6.662979818,6.630710534,6.590680514,6.541565763,6.228742793
3,9.048511331,8.693895607,8.471139086,8.197813233,8.144531276,8.030276734,7.775424992,7.525333126,7.538419947,7.287131187,7.033667823,6.783924187,6.538665746,6.557205057,6.316504236,6.341489193,6.098935338,6.115671275,6.12722245,5.865415378,5.862617552,5.851515144,5.831583858,5.803478394,5.768615585,5.465632881
4,8.509520938,7.995102999,7.880200615,7.656772415,7.389353979,7.05736593,6.960341521,6.706838912,6.714893375,6.46776981,6.216408729,6.222355888,6.232196044,5.986761448,6.003654398,5.762209336,5.784906653,5.54152582,5.556687473,5.567116896,5.57144449,5.303618924,5.293624095,5.275694611,5.250391154,5.21897515
5,7.887796101,7.498690753,6.960265584,6.828864853,6.604466143,6.595921184,6.506400997,6.161160557,6.165085579,5.915303146,5.925437387,5.674490586,5.679881859,5.68884108,5.443150184,5.458415968,5.216130362,5.236602806,5.255054048,5.005901695,5.01525694,5.019138769,5.016753316,5.007339706,4.727797083,4.705230386
6,7.038031764,6.626669399,6.50439408,6.436543725,6.298427031,6.074480727,5.814769261,5.705875106,5.628462624,5.632036045,5.382469298,5.391659103,5.140932231,5.145773326,5.153875392,4.907778959,4.921482921,4.938111173,4.696507755,4.712985716,4.725767642,4.734568267,4.211751049,4.209756374,4.201884808,4.187752656
7,6.35399908,6.006990635,5.866751409,5.75947704,5.672828263,5.523329162,5.549641544,5.291751923,5.169735335,5.099803148,5.1030432,4.853662088,4.861921431,4.867601246,4.615727836,4.622971029,4.633872579,4.130460598,4.144369098,4.160534213,4.175071172,3.924708394,3.669859444,3.672660974,3.670927565,3.664077385
8,5.807948809,5.569514503,5.485737084,5.358639101,5.262131905,5.163289015,5.00582553,5.029947047,4.773371621,4.896080687,4.575838809,4.578725461,4.584147762,4.081710747,4.08646448,4.090277538,4.096665954,3.849653082,3.860323212,3.873261712,3.888332281,3.64175059,3.651553149,3.658299178,3.661092653,3.397986562
