Age,mid-2016
0,380820
1,382188
2,386860
3,396501
4,410067
5,404600
6,396926
7,392573
8,395203
9,381276
10,374109
11,359526
12,353532
13,343277
14,337999
15,348297
16,356064
17,368440
18,375458
19,391104
20,393674
21,398448
22,415997
23,424931
24,444270
25,450772
26,443360
27,444416
28,451898
29,445359
30,444522
31,445011
32,436330
33,441075
34,441961
35,444148
36,444196
37,425202
38,396362
39,389484
40,399287
41,406885
42,414861
43,432517
44,451631
45,469455
46,458020
47,470035
48,470060
49,474622
50,476699
51,480428
52,475422
53,464570
54,453110
55,437643
56,420237
57,411466
58,402231
59,387935
60,374008
61,360968
62,362507
63,357300
64,348157
65,350494
66,357795
67,364939
68,384525
69,414713
70,321010
71,311262
72,309430
73,289868
74,260201
75,235265
76,241909
77,238785
78,230502
79,218672
80,207307
81,194940
82,179575
83,169146
84,161737
85,151282
86,138636
87,121999
88,106597
89,93966
90,81868
91,69811
92,59052
93,49440
94,41011
95,32774
96,23415
97,14018
98,9056
99,6611
100,4735
101,3158
102,1964
103,1189
104,663
105,361
106,192
107,107
108,56
109,26
110,15
111,8
112,3
113,1
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
