AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,282.2753167,274.9952975,268.2093781,262.1815091,256.3939399,250.5380996,245.4724415,240.5650084,235.8427644,231.9931071,228.2559367,224.3416032,220.8425577,217.6768828,215.1180974,212.3078682,209.76852,207.4716967,205.4049373,203.5941367,201.8190481,200.2980563,198.9092921,197.364299,196.2678046,195.0993514
0,66.54719611,64.73865462,63.21806397,61.59694712,60.29975325,59.32368352,58.0618478,56.5285124,55.55762309,54.63010092,53.98759889,53.10475046,52.24322723,51.35315565,50.68533622,49.96985514,49.46740995,48.90161538,48.53737106,48.09965817,47.86477395,47.30621823,46.9502248,46.56375288,46.40238164,46.02361166
1,22.39752481,21.82212114,21.04343471,20.72873304,20.20135769,19.95604419,19.46318433,19.22327438,18.9787833,18.48145782,17.99755974,17.78414822,17.31338831,17.11559445,16.90916557,16.68734642,16.71965719,16.46339324,16.45588743,16.15552384,16.10012129,16.02204634,15.92517292,15.80615334,15.67688887,15.5358308
2,10.03964372,9.818474493,9.796604445,9.516357561,9.37904227,9.121317431,8.870579549,8.625004411,8.635318715,8.381845447,8.395347403,8.152799237,8.176194351,7.93979518,7.971483347,7.733488003,7.754974883,7.769893271,7.508000713,7.504620032,7.490486414,7.464964655,7.428996701,7.384345978,7.329526342,7.269942035
3,9.048511331,8.949598419,8.72784027,8.45405987,8.407412711,8.030900834,8.035251426,7.785554682,7.539321461,7.548309179,7.295086238,7.306774946,7.062867367,6.820709774,6.580904322,6.607009773,6.630631395,6.3829957,6.395224899,6.400307215,6.397441024,6.385475173,6.363836439,6.333322778,6.295461759,6.249007319
4,8.509520938,8.244949968,8.134421312,7.912018356,7.644237201,7.318902897,7.21869022,6.965369216,6.715535099,6.727298602,6.476230937,6.482444245,6.233086261,6.248063751,6.265811383,6.025248411,6.049049905,6.070555693,5.82258581,5.83368689,5.838315805,5.83569856,5.824836574,5.805208856,5.777508161,5.743105663
5,7.887796101,7.740584003,7.457445949,7.081821596,6.858518916,6.849697345,6.506553401,6.418386366,6.422508581,6.173077665,6.1838298,5.933171848,5.938824939,5.689650268,5.703279126,5.719381163,5.477965536,5.499527303,5.518981354,5.534078062,5.280555937,5.284727929,5.282369037,5.272579161,5.25488836,5.229934051
6,7.038031764,6.872101599,6.745313814,6.436591528,6.298474635,6.327632137,6.067677356,5.965372311,5.884783613,5.632526303,5.639326613,5.649115464,5.398672698,5.40377106,5.412336261,5.166937285,5.18146125,5.198998153,5.219390558,4.975886592,4.989463042,4.998875253,5.00281079,5.000585595,4.991350515,4.974661952
7,6.35399908,6.257281912,6.111214323,5.999484044,5.91951677,5.77443307,5.549697542,5.543837898,5.428362418,5.355243931,5.103485936,5.109627048,5.118466917,4.868237314,4.872806916,4.880504696,4.892128565,4.647632032,4.663309084,4.681562706,4.697960302,4.449038877,4.45740296,4.198494315,4.196633251,4.188898372
8,5.807948809,5.822674253,5.73510307,5.358665205,5.262169664,5.163339796,5.256169429,5.029997649,5.024702695,4.896219474,4.830469585,4.833517134,4.584614797,4.592522098,4.597871441,4.602185783,4.353342919,4.106992283,4.118462424,4.132290102,4.148425478,4.162910291,3.913307201,3.920640999,3.923707433,3.921973642
