AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,354.1728066,329.0145962,320.9920748,313.2440176,305.5277803,298.491619,291.9538136,285.0930544,278.9542012,273.154424,267.2231044,261.6423126,256.4201683,251.2095274,246.5248286,241.8081966,237.2940192,232.9676353,228.8129042,225.1282051,220.9491384,217.0014846,213.9528351,210.2646949,206.8147812,203.6165834
0,82.46920756,76.79026914,74.8452065,73.03930396,71.30277476,69.88455173,68.19042808,66.48852125,65.32869449,63.9662096,62.36921557,61.05380398,60.01723572,58.94708662,57.82152251,56.38042823,55.38976014,54.58600011,53.70638615,52.74736585,51.71994418,50.89395227,50.00328304,49.08885082,48.14528958,47.50406738
1,26.70662769,24.88564308,24.37330767,24.0046509,23.25154041,22.77037949,22.30590417,21.8304178,21.34924731,20.62812645,20.1738227,19.97863045,19.53989882,19.1083046,18.92091951,18.71691689,17.98156889,17.48137141,17.21561791,16.92609324,16.8673929,16.53058603,16.42988672,16.05525013,15.92330936,15.2860149
2,11.99945145,11.29040769,11.00792203,10.58637156,10.18322351,9.937777093,9.699827642,9.467455621,9.229096097,8.988292749,8.502125531,8.271941324,8.295438263,8.071554329,7.850287422,7.878157934,7.644987182,7.659235506,7.409583914,7.405875157,7.136867272,7.112249071,7.07764173,6.783561671,6.732730546,6.677730264
3,10.04148088,9.244190148,8.779331503,8.751639413,8.267692863,7.903752059,7.90790259,7.669916485,7.435248282,7.195753017,7.202597903,6.964922907,6.732268887,6.751274303,6.523329056,6.549011162,6.319362907,6.336645709,6.094471933,6.099087297,6.096019934,5.830940746,5.810920235,5.78281022,5.747966657,5.209037432
4,9.272115735,8.555173741,8.222023658,7.758676079,7.495354694,7.477054788,7.127618786,7.132106283,6.894310224,6.659431729,6.667127604,6.426274565,6.188547721,6.203289232,5.971872481,5.99204556,5.764887823,5.785130203,5.548661764,5.558910555,5.563099456,5.054806742,5.045268673,5.028043915,5.003852967,4.973825245
5,8.937780114,8.071285594,7.565691481,7.45848511,7.239067801,6.980853205,6.948158056,6.608099327,6.367375527,6.374853654,6.140054647,6.147135373,5.906798109,5.669262614,5.682709615,5.6986057,5.469147174,5.490494581,5.259236534,5.022355761,4.780012504,4.783622889,4.781179265,4.772172707,4.755962788,4.484064755
6,8.162422607,7.493241448,7.118786132,7.062944966,6.709720708,6.731448848,6.4764043,6.428832821,6.097040497,6.100864371,5.863698332,5.873571376,5.635307406,5.640586719,5.403480333,5.416224547,5.18448112,5.201792389,4.724687487,4.741122249,4.753898197,4.511934066,4.515340871,4.513042693,4.504560868,4.489337823
7,7.763268821,6.931332011,6.762420993,6.632922626,6.33229046,6.207887838,6.228880203,5.976278954,5.913492989,5.832894854,5.59336481,5.599888002,5.36540218,5.371533072,5.132159209,5.139871821,4.661266957,4.67423647,4.689812124,4.460154098,4.475613501,4.487630967,4.246035265,4.249229827,3.997246896,3.989761275
8,6.97962671,6.521888787,6.426612842,6.271267144,6.153222066,5.843196649,5.711246515,5.730925867,5.480215825,5.402425444,5.329037806,5.332344426,5.095881436,5.10439087,4.62352914,4.627819773,4.63475112,4.40106946,4.413262836,4.1819338,3.951090439,3.964738606,3.975347874,3.733641981,3.736441388,3.73453436
9,6.958094874,6.471475772,6.255149973,6.164731099,6.01764791,5.906204923,5.591635845,5.693119509,5.474645844,5.462813088,5.384719878,5.070375606,5.073511559,4.59562714,4.603265169,4.60847936,4.369966194,4.376489982,4.142951317,3.910025427,3.922967627,3.938010788,3.951568588,3.714475683,3.721174849,3.723955586
10,7.374546879,6.67995235,6.444760052,6.229924965,6.141642819,5.997077578,5.887161234,5.805757919,5.674335689,5.456495127,5.444740617,5.366351028,5.293920894,5.056402971,5.062204855,4.829133195,4.592877655,4.597089317,4.361627372,4.371701491,4.383732456,3.909504739,3.92444463,3.93790902,3.948365253,3.70824516
11,8.194890354,7.340638534,7.143657725,6.893961365,6.683183678,6.59035196,6.436678031,6.093817709,6.0179613,5.890794103,5.910836218,5.66223361,5.590706787,5.51550817,5.278931544,5.284980566,5.293653391,5.058741626,5.063364389,4.829401396,4.840517064,4.853791661,4.382750468,4.399439805,4.414469651,4.426160576
12,9.949686854,8.94520274,8.568256876,8.340375636,8.051777667,7.848238843,7.506107509,7.332159424,7.199092015,6.690205424,6.575540633,6.362200049,6.348586793,6.297999537,5.974593638,5.978222531,5.745661128,5.755057557,5.521459874,5.526488097,5.53464023,5.306146568,5.32064762,5.338024324,5.114734454,5.132134125
13,12.44192042,11.50552466,10.99762896,10.03580273,10.01651503,9.673495919,9.242001818,8.64887103,8.449137903,8.072083708,8.046837191,7.722811899,7.748889032,7.498069833,7.240858718,6.90597045,6.910150177,6.679461015,6.451389378,6.458611662,6.46445686,6.234182261,6.248430382,6.024452046,6.044056335,5.82423196
