AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,282.2753167,263.6012971,256.81894,250.2542265,243.917312,237.5164537,231.9045393,226.4399961,220.8753921,215.9104895,210.7705072,205.9737788,201.0477211,197.0106483,192.7746223,188.5832311,184.4160295,181.0782709,176.9360839,173.6456982,169.9087577,166.7640342,163.276915,160.2237914,157.6144063,154.0986643
0,66.54719611,62.32102851,60.56558737,59.2096829,57.11701849,55.87043355,54.60425171,53.59753557,52.35546437,50.88543318,49.69700856,48.52976269,47.6490446,46.74033448,45.51723017,44.24694682,43.46727593,42.35930466,41.73532218,41.04990534,40.3105525,39.52938663,38.43482779,37.85369547,36.98793204,36.42601386
1,22.39752481,20.78297251,20.24383162,19.93863622,19.41123622,18.90215248,18.67006059,17.90241604,17.39295427,16.89287279,16.66909206,16.18621041,15.97580199,15.77240684,15.29220178,15.06571071,14.82459805,14.29669692,14.01983807,13.72373318,13.40809688,13.07566272,12.99603753,12.63493718,12.53100117,12.15890394
2,10.03964372,9.560093586,9.280897978,9.25172082,8.856622996,8.598687528,8.347125654,8.361761144,8.10997121,7.855942955,7.868450007,7.624385941,7.382399042,7.407691565,7.171514743,6.930404083,6.949521084,6.426967556,6.431910854,6.428654657,6.14896811,6.127834623,6.09803789,5.797613228,5.754229031,5.707162879
3,9.048511331,8.438192795,8.214416815,8.19775023,7.881680217,7.770611547,7.515581875,7.26504708,7.277698792,6.76577662,6.511756325,6.52206807,6.27610139,6.293843834,6.052137852,6.076024272,5.832341394,5.848341862,5.592885849,5.597179022,5.594345981,5.317777063,5.299599615,5.273969532,4.980092735,4.943050851
4,8.509520938,7.995102999,7.880180583,7.656733331,7.134494133,7.057236804,6.701998227,6.706233444,6.455911291,6.208384423,6.215603755,5.962240869,5.971652824,5.72552857,5.741636784,5.499210471,5.520824022,5.276348767,5.290781343,5.035513622,5.03937342,5.036821819,4.762648138,4.746447416,4.723603585,4.695264304
5,7.887796101,7.256797503,6.960265584,6.828847581,6.60443259,6.34216755,6.246031168,6.160638653,5.907675869,5.914618623,5.667181865,5.673758865,5.42092166,5.429443094,5.183079319,5.197586241,4.954341829,4.973743868,4.728380792,4.741258962,4.74995448,4.225404186,4.223273935,4.21526294,4.200985656,3.658237043
6,7.038031764,6.626669399,6.263475506,6.188984351,6.046474716,5.821347895,5.814695759,5.70575672,5.62798747,5.375552754,5.381848563,5.134333416,5.140271586,4.88778042,4.895449937,4.648682292,4.661636416,4.677274552,4.434664994,4.188267876,3.937157713,3.681396196,3.684176593,3.682325757,3.675365469,3.401338296
7,6.35399908,6.006990635,5.866751409,5.759449397,5.672814271,5.523301428,5.297345021,5.291685251,5.169628433,5.099374052,4.847445779,4.853104199,4.605500503,4.610821085,4.358661429,4.10868499,4.118287513,3.871617175,3.625590453,3.639700817,3.391378073,3.400541994,3.40672645,3.409290579,3.145461885,3.139528495
8,5.807948809,5.569514503,5.485737084,5.358639101,5.022920063,4.917406019,5.005800471,4.778401625,4.773311661,4.638296611,4.575454972,4.323944862,4.074331078,4.081231818,3.830561497,3.834066705,3.840024576,3.592373391,3.602319379,3.614297645,3.369163087,3.12068062,3.129086554,3.134767577,3.137119575,2.874250245
