AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,354.1728066,329.0145962,320.739112,312.7395989,305.0220055,297.7333846,290.4351214,283.8252549,277.427042,270.8604597,264.916242,259.328775,253.3230939,247.8446048,242.6361106,237.3967221,232.6244074,228.045454,223.1360666,218.9631301,214.5671198,210.4139743,206.1659159,202.0503262,198.4200343,194.7822849
0,82.46920756,76.79026914,74.8452065,73.03893605,71.30241546,69.63173391,67.9373562,66.23454106,64.82128569,63.45693051,62.11306615,60.54026438,59.24580855,57.9146107,56.78591709,55.34277609,54.60959317,53.54717713,52.15245039,50.94151759,50.17805529,49.36148125,48.22964381,47.32939506,46.64966105,45.52803912
1,26.70662769,24.88564308,24.37330767,24.0046509,23.25142415,22.77026554,22.30568056,21.83019869,21.34881834,20.37615386,20.17321224,19.72518767,19.28520406,19.10752569,18.6641338,18.20295785,17.72346008,17.2230084,16.95718696,16.6678847,16.35446253,16.01991555,15.66956427,15.30054919,14.92583725,14.79062028
2,11.99945145,11.29040769,11.00792203,10.58637156,10.18322351,9.937727714,9.699779392,9.218220186,8.979571475,8.98811322,8.50193419,8.271692514,8.043818702,8.071147162,7.84996936,7.62355883,7.644480685,7.403398415,7.153550972,7.149861088,7.136103331,6.857456341,6.823971855,6.782641462,6.482432608,6.429373334
3,10.04148088,9.000921986,8.779331503,8.751639413,8.267692863,7.903752059,7.660742771,7.669859555,7.435156145,7.195663744,6.954094285,6.964766985,6.732067455,6.501015784,6.523001735,6.296872344,6.318963589,6.082779019,6.09402316,5.844513082,5.841484956,5.830319945,5.557625631,5.279253664,5.247435316,5.208275205
4,9.272115735,8.555173741,8.222003775,7.758676079,7.495354694,7.477054788,7.127618786,6.886137713,6.894259298,6.659349604,6.420117686,6.426131617,6.188409851,5.954980349,5.971664452,5.742090271,5.764642191,5.533254862,5.548283941,5.305844008,5.05696673,5.054334092,4.792497471,4.776065377,4.753006277,4.724476018
5,8.937780114,8.071285594,7.565691481,7.458467165,7.239067801,6.980853205,6.700009554,6.608099327,6.367328746,6.374806764,6.139979247,5.901148388,5.906667274,5.669136849,5.682527094,5.450651167,5.468861669,5.240704301,5.008470576,4.770914496,4.779651765,4.78322548,4.529116558,4.520528852,4.50509639,4.483439296
6,8.162422607,7.493241448,7.118786132,7.062944966,6.709704629,6.491039961,6.4764043,6.428816925,6.097040497,6.100819706,5.863655354,5.628784134,5.63519695,5.395224736,5.403360891,5.169867061,5.184289135,4.706138787,4.724476018,4.740802843,4.503377533,4.511594799,4.514967116,4.261912044,4.253849734,4.239390924
7,7.763268821,6.931332011,6.762420993,6.632922626,6.33229046,6.207873016,6.22886528,5.976278954,5.913478419,5.589857568,5.593324003,5.356375487,5.365336754,5.127272328,5.132033788,4.895008193,4.661106866,4.674063988,4.442727687,4.459955178,4.475313054,4.238011724,3.995969066,3.998945278,3.747053879,3.740000175
8,6.97962671,6.521888787,6.426612842,6.271267144,6.153222066,5.843196649,5.711232924,5.730912182,5.480215825,5.402412177,5.329024897,5.089928123,5.095831973,4.61820228,4.623427882,4.627707056,4.390709746,4.400918814,4.167928282,3.935705334,3.950914822,3.964473363,3.726610859,3.733353908,3.736124966,3.485218318
9,6.958094874,6.471475772,6.255149973,6.164731099,6.01764791,5.906204923,5.591635845,5.455893254,5.474632813,5.225299475,5.139947303,5.070363364,5.07346253,4.595582678,4.603187101,4.36583251,4.369860104,4.133241105,3.899115266,3.90987255,3.922727178,3.691721561,3.704348535,3.71419056,3.720888697,3.475398523
