AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,354.1728066,343.1475206,335.1194604,327.1287328,320.1923174,313.6777132,307.4097126,301.8483459,296.5195164,291.2821767,286.6956346,281.9693686,277.8572515,274.0016388,270.6608788,267.2639277,264.3000583,261.4727303,258.7715568,256.4806242,254.4088181,252.2383944,250.6598954,248.8799161,247.5851814,246.1097983
0,82.46920756,80.11784747,78.13307323,76.5776829,75.09550737,73.17947139,71.99460419,70.54968063,69.14525823,68.30150162,66.71725634,65.92901132,65.17014797,64.11989648,63.0096942,62.61481539,61.88936047,61.08482508,60.70970942,60.24313511,59.69216265,59.3287449,58.88195053,58.39716085,57.86749585,57.64171487
1,26.70662769,26.11760561,25.38970016,24.75931569,24.50634102,23.77639179,23.3139677,22.8399609,22.61110532,22.14418633,21.94633742,21.75642668,21.32415379,20.64533231,20.46389083,20.26449007,20.04654396,20.06268302,19.79640554,19.75876346,19.43537673,19.34085845,19.22393481,19.08006472,18.92404362,19.00026526
2,11.99945145,11.53585134,11.25268016,11.09095973,10.93042783,10.43679218,10.19956316,9.968201437,9.980064821,9.740016483,9.505394311,9.277810236,9.052845989,8.831648591,8.613591741,8.390157582,8.413409445,8.429506338,8.180586446,8.176865603,8.161412332,8.13361496,8.094278104,8.045659116,7.985785302,7.920870504
3,10.04148088,9.730726472,9.267094741,8.994871708,8.518634513,8.399396232,8.156697576,7.919155323,7.932917268,7.694111895,7.453073585,7.464868463,7.233516624,7.254053202,7.027856667,7.055767019,7.080854507,6.846805268,6.859834526,6.865241663,6.862153318,6.595561441,6.573234044,6.541612835,6.502511595,6.454375632
4,9.272115735,8.792817456,8.705714213,8.486113687,7.97906101,7.7266751,7.620714577,7.379565491,7.142188662,7.154540543,6.915970953,6.922571043,6.685849276,6.70194704,6.471944122,6.493944397,6.268837858,6.291033265,6.308304504,6.320249574,6.072183076,6.069465027,6.05808186,6.037690282,6.008787852,5.973046627
5,8.937780114,8.301893754,8.038566204,7.699155499,7.480478365,7.221728737,7.196681585,6.85425288,6.85860136,6.621582681,6.632969544,6.394797586,6.400874458,6.164308408,6.179102522,5.948581945,5.968731309,5.992187685,5.762742865,5.778509722,5.789404132,5.7939106,5.791313785,5.780484832,5.761126175,5.733651925
6,8.162422607,7.961569038,7.348441269,7.298428013,7.18907261,6.971975064,6.716432231,6.676458806,6.586169045,6.346246317,6.353830138,6.119906096,6.127045514,5.887547836,5.896689991,5.664508407,5.680358801,5.699488285,5.721820036,5.492242208,5.507214451,5.517559634,5.521838873,5.519372999,5.509089999,5.490720682
7,7.763268821,7.17034346,6.99564055,6.861675484,6.801412818,6.446760503,6.468576494,6.215493552,6.160237637,6.077217121,5.837803916,5.844755975,5.8547081,5.617284629,5.622585191,5.631299251,5.399256621,5.414325074,5.43250788,5.453691343,5.223978059,5.238168287,5.24797297,5.001931996,4.999706267,4.990424623
8,6.97962671,6.763440224,6.664651403,6.503581615,6.381162807,6.310740881,6.187301516,5.969842742,5.956926655,5.89390239,5.57245463,5.575940061,5.582544597,5.348887249,5.355084714,5.360120944,5.124382176,5.136502555,5.150789359,5.168041325,4.941071546,4.710344785,4.723096064,4.731906373,4.735538848,4.733438881
9,6.958094874,6.71116006,6.495748292,6.4018665,6.24915376,6.133422382,6.057718407,5.930473501,5.712809905,5.700516253,5.629838142,5.554448691,5.316276142,5.322552745,5.331530307,5.095065429,5.099841541,5.107693281,5.119722267,4.889443569,4.660478042,4.678518092,4.694725476,4.707392216,4.716143981,4.719740563
10,7.374546879,6.927357992,6.683470822,6.709182115,6.377905047,6.227806232,6.113659727,6.038128459,5.91092007,5.931127745,5.681670222,5.61064559,5.535752537,5.539205533,5.304592089,5.313521947,5.319637684,5.324594544,5.090366119,5.102313535,5.116398056,5.133407483,5.153209836,4.924761949,4.93801556,4.699817697
11,8.194890354,7.846889468,7.636342586,7.369442014,6.921934896,6.825785936,6.666651341,6.545300249,6.481046411,6.362237528,6.147458617,6.13431797,6.077268827,5.996411747,5.76014746,5.766874114,5.77652085,5.542182029,5.547341738,5.555810532,5.568805007,5.341335625,5.359017643,5.379630762,5.398097416,5.412586724
12,9.949686854,9.208296939,8.820308887,8.585743985,8.288673173,8.086160418,7.975332765,7.561410684,7.424197259,7.382517046,7.045453745,6.833699565,6.819141094,6.782953952,6.693016435,6.457978294,6.4655095,6.23644024,6.243538838,6.249331502,6.258839106,6.032141664,6.048677336,6.068616635,6.091892544,5.868193049
13,12.44192042,11.773095,11.52135575,11.03946609,10.74953582,10.38143516,9.716088777,9.35028384,9.134370008,8.969162897,8.506969392,8.425201181,8.218827455,7.967072558,7.965559816,7.860296333,7.626774268,7.635655169,7.648320656,7.417731969,7.42457174,7.195961626,6.972251641,6.991278982,7.01424254,7.041065192
14,15.15187652,14.5696056,14.10476648,13.5463585,12.98574814,12.40608774,11.98488495,11.80216735,11.40951787,11.14705468,10.94619832,10.76468177,10.49034189,10.29172358,10.03655172,9.616239906,9.726934118,9.25805035,9.031147954,8.807992897,8.817963861,8.826062169,8.600444834,8.620338731,8.643747929,8.672044941
15,19.39037746,18.67939468,18.03325496,17.46445256,16.84315268,15.90550144,15.49815051,14.97550686,14.33673224,14.1434353,13.59288186,13.12646908,13.00047554,12.53480439,12.34385317,12.08542068,11.96740557,11.81062838,11.81769085,11.59468301,11.37668562,11.38953515,11.39994941,11.17915065,11.20492254,11.23518957
16,24.88457792,23.88643088,23.00054592,21.73351988,21.05781291,20.11338275,19.29797433,18.80762094,18.40901809,17.7879096,17.08724772,16.69729718,16.3988738,16.12806135,15.95064086,15.53996147,15.2757799,14.77634688,14.58362001,14.59233832,14.37341907,14.16081255,13.94042712,13.71662632,13.73706081,13.76859502
17,31.46291022,29.41396612,28.54557597,27.22102233,26.16036031,25.10040161,24.08684589,23.36531923,22.53529231,22.01436031,21.41235423,20.89679395,20.42243011,19.83892993,19.65517592,19.08078875,18.91338018,18.64351189,18.00924396,17.77567796,17.55221491,17.57216008,17.36593906,17.15038183,17.16582778,17.19125507
18,37.67377027,35.98416697,34.08577907,32.81991075,31.33954765,30.22537969,29.32075741,28.23597645,27.59823322,26.66765083,26.01316082,25.43226175,24.63854906,24.08287184,23.65731071,23.12011574,22.60968265,22.22591381,21.95080961,21.88835293,21.60632577,21.3865704,21.17803396,21.21194815,21.00210371,20.7873258
19,43.53337037,41.2885999,39.43050374,37.92868382,36.27960534,35.18927667,33.77821173,32.7903709,31.90293469,30.64586769,29.88583376,29.13311901,28.57204899,27.97149164,27.1270173,26.86951707,26.19460147,25.74261227,25.59986951,25.32077694,24.89133305,24.57428496,24.58845928,24.38589529,23.96365819,23.75913314
20,47.44700865,44.73881056,43.07743229,41.53461812,39.63995809,38.35200402,36.81929013,35.93230666,34.89505565,33.97846956,32.65578538,31.85576084,31.27281481,30.50120254,30.10533522,29.44123802,29.14661497,28.53402078,27.90349854,27.7692865,27.48895134,27.12628088,26.78473134,26.80006132,26.60218479,26.41595797
21,49.61979712,47.04030329,45.32943282,43.48954329,42.00456466,40.43030826,39.20553695,37.98386864,36.5716405,35.52708941,34.60802121,33.74623305,32.92745828,32.0927838,31.55548394,31.14975743,30.68505465,30.15924933,29.79374897,29.63231603,29.06099704,28.78067356,28.45792212,28.10296025,28.11889117,27.92434305
22,50.19285814,48.01725838,46.20848995,44.54358405,42.97929633,41.30509698,40.00553163,38.54297415,37.83736154,36.69687363,35.65954054,34.74702706,33.88848119,33.07391221,32.90483436,31.93202028,31.525092,31.05656579,30.73956013,30.60621867,30.02147522,29.89602339,29.39705327,29.09435367,28.95755046,28.75087478
23,50.60091397,48.26276394,46.78287472,44.80536391,43.64581988,42.10858133,40.46954191,39.66145763,38.20180101,37.49463904,36.36969798,35.59601226,34.69235829,34.30666917,33.26235855,32.86986819,32.34415946,31.71789324,31.46131428,30.93102382,30.80279792,30.66037223,30.31962116,30.0412087,29.75850858,29.39375924
24,51.41580223,49.08796787,47.47000406,45.54869668,44.07820604,42.9543014,41.4303537,40.27710649,39.46666407,38.0082668,37.29999157,36.68627456,35.66351232,34.7630955,34.37678805,33.78591443,33.16083879,32.85741198,32.44365618,31.96105408,31.63279322,31.30830373,31.17470173,31.05401227,30.77529914,30.51394844
25,52.72680499,50.37679004,48.96367604,47.60173217,45.72841172,44.52254628,43.20651129,41.94181273,40.79938494,40.00669203,39.06629077,38.1297122,37.50534451,36.70768528,36.03087679,35.36953122,34.75780537,34.32245731,33.80677357,33.59824255,33.09310968,32.95459727,32.66192574,32.3353216,32.21865438,31.93874666
26,55.34255637,53.45339572,51.59595167,50.01321935,48.68565188,47.10846442,45.69964135,44.40717548,43.41396258,42.29293497,41.30265182,40.39913353,39.74733857,38.8501356,38.2605495,37.55779265,37.07093822,36.86829528,36.1525073,35.86301632,35.62958114,35.08307546,34.70550929,34.24273874,34.15755441,34.04673453
27,59.06908879,56.75015101,55.28520227,53.50529821,51.77385793,50.47663271,48.97825298,47.57368617,46.52087877,45.59261724,44.96903109,43.57419108,42.73213988,41.87969176,41.19888763,40.78800495,40.27829936,39.69208975,39.20594594,38.635748,38.14018903,37.87915266,37.70553444,37.28549254,37.09421615,37.05548148
28,63.52430189,60.99735056,59.30728238,57.60145449,55.91836779,54.2642274,52.98284708,51.79198009,50.37322997,49.56346029,48.49570928,47.44021481,46.59641976,45.83380564,45.30068329,44.3184491,43.82310874,43.25924105,42.56403953,42.01185668,41.78692974,41.30470982,41.00496331,40.76598236,40.29596979,40.38449404
29,68.26588769,65.8343686,63.99524732,62.2610572,60.52959219,59.17578424,57.60538348,56.32644984,55.23150835,54.24072434,53.00892764,52.04477232,51.03390259,50.2910294,49.13383196,48.42086513,47.88474093,47.29352595,46.66823013,46.30317914,45.88716855,45.54355263,45.29283435,44.94444249,44.623541,44.0910326
30,73.43725412,71.22756756,68.93866095,67.33493136,65.55471957,64.20278073,62.75527798,61.47634796,60.18533607,58.97477711,57.96277502,56.75432305,55.67044934,55.16849669,54.06116566,53.24682973,52.62089651,51.77119106,51.55417865,51.08767304,50.56035841,50.04572762,49.57485804,49.34026252,48.9420016,48.53762186
31,78.8036138,76.30802636,74.39050507,72.67007027,71.09530249,69.26142043,68.06487603,66.94771875,65.52566386,64.22245269,63.34845666,62.31192774,61.13069475,59.94625508,59.26290886,58.74640895,57.80771586,57.02822897,56.60131266,56.01409449,55.46754913,55.00674568,54.6107382,54.21482786,53.99881676,53.54365508
32,84.51658466,81.76787948,80.39709949,78.55318095,76.93770545,75.60754902,74.11615424,72.62262351,71.4156659,70.28928502,69.18681633,68.00453512,67.16266554,66.23336221,65.42737275,64.34386103,63.48880532,63.16075514,62.24338664,61.48722849,61.24599718,60.60527759,60.18256131,59.66686003,59.5445272,59.13450735
