AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,354.1728066,336.0801748,327.8027132,320.0593207,312.6073167,305.8312671,299.0512334,292.9652851,286.8452611,281.322624,275.9350849,270.9052859,265.7209646,261.5710287,256.9076298,252.7163771,248.9792111,245.1462085,241.4655957,237.9761767,234.7387926,231.9545905,228.7853056,225.9586463,223.1212818,220.5639084
0,82.46920756,78.32607452,76.61483404,75.05985268,73.07270734,71.40550251,69.96574962,68.51895396,67.11018479,65.75172757,64.66889019,63.10695735,62.07929732,61.27482532,60.15635489,59.23710882,58.24850625,57.18603315,56.30121667,55.59087177,55.06184854,54.47052864,53.80662958,53.11180034,52.38071595,51.45907403
1,26.70662769,25.6248206,24.88146394,24.25688289,23.75377091,23.27321503,22.80979016,22.33501264,21.85454669,21.63764245,21.18566588,20.48757909,20.05083776,19.87628288,19.69196146,19.23385158,19.01338517,18.77101293,18.76203951,18.21295043,17.63873569,17.55267392,17.19318695,17.06413984,16.92415861,16.77130233
2,11.99945145,11.29040769,11.00800282,10.58658503,10.43257946,10.18720859,9.949629998,9.717761327,9.729203827,9.239259361,9.003691514,8.523930936,8.548168932,8.325218348,8.105061864,8.133987103,7.901551763,7.916402787,7.6669086,7.663285455,7.648632042,7.622319167,7.332490518,7.288208433,7.23381434,7.174825763
3,10.04148088,9.244190148,9.023201822,8.75170324,8.518399743,8.151529523,7.908664807,7.91821474,7.684023057,7.444861495,7.203617707,7.214872589,6.982709067,7.002459614,6.775399278,6.80219837,6.573516566,6.591565078,6.349907863,6.354717806,6.35173091,6.339634507,6.065223902,6.035951637,5.999677517,5.955135498
4,9.272115735,8.555173741,8.463847883,8.001154106,7.737196451,7.477222511,7.374123708,7.132790421,7.141344444,6.90692913,6.668016734,6.674379283,6.43717319,6.452445477,6.221722272,6.242805167,6.016696332,6.037933316,5.802161431,5.812968987,5.817350374,5.814629608,5.551265941,5.532364331,5.505808628,5.224101517
5,8.937780114,8.071285594,7.802119339,7.458503054,7.239102737,7.221641816,6.948313235,6.853531466,6.612906189,6.375588363,6.386456782,6.147951687,6.153793137,5.916758602,5.930736412,5.699537718,5.718754157,5.741180112,5.510849485,5.52584021,5.536074445,5.288413715,5.034251791,5.024690071,5.007667992,4.983734337
6,8.162422607,7.727405243,7.348424395,7.062961594,6.949370243,6.731481214,6.716351678,6.428975889,6.341571685,6.101459957,6.108720565,5.874318946,5.881098883,5.641402992,5.650064484,5.417118093,5.432246308,5.450455361,5.223049067,5.241312525,5.005255518,4.763767288,4.767329242,4.765129286,4.756099698,4.740069554
7,7.763268821,7.17034346,6.995624237,6.632937797,6.566835137,6.44668354,6.228910049,6.21541926,5.913624128,5.83350449,5.837122396,5.600542522,5.609995549,5.372254503,5.377323095,5.385563507,5.152773603,5.167125762,4.937521833,4.708885543,4.725292626,4.738042366,4.496913993,4.500264391,4.498195099,4.489690548
8,6.97962671,6.763440224,6.426628139,6.271296277,6.153236089,6.076952922,5.949257592,5.730953237,5.718581458,5.648115064,5.571847152,5.33288731,5.339164348,5.105048528,5.110900456,5.115706315,4.635565277,4.646345832,4.659243756,4.428725204,4.445877005,4.461314824,4.224793824,3.983542988,3.986500712,3.984673948
9,6.958094874,6.471475772,6.495748292,6.164745716,6.017675765,5.906218339,5.824661383,5.693173529,5.474671907,5.462916889,5.384851678,5.312373605,5.315646727,5.079979438,5.088472792,4.851701674,4.613425311,4.620448402,4.631136103,4.399541959,4.41413947,4.185001693,3.952456884,3.963039701,3.970247954,3.973185961
10,7.374546879,6.927357992,6.683454869,6.469568468,6.377874916,6.227763137,5.887174564,5.80581185,5.674389353,5.693761061,5.444843733,5.36648193,5.294481466,5.297732571,5.303914289,5.071263324,5.077062557,4.839767401,4.847121779,4.615369667,4.628095953,4.399009734,4.415920867,4.431140083,4.196142511,3.95646895
11,8.194890354,7.593764001,7.390008954,7.131701125,6.921918374,6.590382984,6.436722421,6.319528924,6.24947921,6.126483611,5.910878144,5.898271335,5.833922803,5.755920204,5.519465716,5.525897238,5.294366794,5.30041295,5.305282856,5.071802229,5.083428749,5.097396687,5.11418016,4.88930611,4.906073228,4.673173035
12,9.949686854,8.94520274,8.820286659,8.340416555,8.051815803,7.848313505,7.740709682,7.561341382,7.199124407,6.920981995,6.810461338,6.597883729,6.583858964,6.54040456,6.21424568,6.218020541,5.985823176,5.995656746,6.002480225,5.767657142,5.776347062,5.789542879,5.563504379,5.581758812,5.603066583,5.377743719
13,12.44192042,11.50552466,11.25947727,10.53764574,10.26087042,9.909481604,9.479066075,9.116441502,8.905929408,8.29634546,8.276861001,7.95694823,7.98377884,7.7325657,7.482437392,7.144890034,7.1491978,6.918904475,6.930213941,6.698845047,6.704924647,6.714990617,6.489924392,6.507600033,6.287064968,6.31099363
14,15.15187652,14.01980917,13.57247502,13.02527685,12.7359268,12.16271277,11.74974914,11.33000042,11.17654044,10.69195124,10.49918017,10.30635054,10.02382407,9.823619255,9.336087479,8.894551486,8.776882167,8.544777005,8.554645172,8.330536653,8.339965592,8.109004095,8.12110963,7.900142203,7.921552624,7.706516582
15,19.39037746,18.40059774,17.75992677,17.19970311,16.32473262,15.65678343,15.01365153,14.27332958,14.10153813,13.44766944,12.91303299,12.68116547,12.31587482,12.07016013,11.87763244,11.62021872,11.48802194,11.10052232,11.10710678,10.8832593,10.66387352,10.67591596,10.44804295,10.46357191,10.01052297,9.798520901
16,24.88457792,23.34355745,22.16913945,21.19000918,20.26793153,19.59740231,18.80287536,18.08394568,17.47654938,17.08551534,16.62508471,16.02001825,15.73356646,15.44603258,15.02541028,14.61162645,14.34944367,14.06045758,13.87603526,13.41361105,13.19331146,12.97850877,12.75683465,12.53175796,12.31353577,12.34118145
