AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,282.2753167,263.6012971,257.0837018,250.5190458,244.4482152,238.5786128,232.7020802,227.2388616,222.4783124,217.2499686,212.6528442,208.1333779,204.028066,199.9983718,195.7702745,191.8534403,188.5016701,184.8870451,181.5417248,178.2310434,175.2681871,172.08413,169.3442191,166.7580052,163.8368361,161.3135606
0,66.54719611,62.32102851,60.56558737,59.20983941,57.38160087,56.13566826,54.87004811,53.86344158,52.62178755,51.15321186,49.96526479,49.06758188,48.18913833,47.28298461,46.33204633,45.33522275,44.28481384,43.72006126,42.5518075,42.13357965,41.38939356,40.86887768,40.02947866,39.4357014,38.81623509,37.98096301
1,22.39752481,20.78297251,20.24383162,19.93863622,19.41128714,18.90225173,18.67025697,17.90269883,17.65671654,17.15705036,16.66957723,16.45195102,16.24267083,15.77303933,15.561321,15.33552515,15.09511269,14.83715547,14.29064475,14.26318537,13.94569226,13.61077974,13.26274019,13.16298673,13.05486437,12.67814082
2,10.03964372,9.560093586,9.280897978,9.25172082,8.856622996,8.598709933,8.608018239,8.361848543,8.110098512,7.856066389,7.868573834,7.624606445,7.64625775,7.407985544,7.171800481,7.197360968,6.949892611,6.963014343,6.700374015,6.429205739,6.416914988,6.394875573,6.098700844,6.06182801,6.016555993,5.967399835
3,9.048511331,8.438192795,8.214416815,8.19775023,7.881680217,7.770611547,7.515601352,7.524571618,7.277774457,7.026108499,6.772332417,6.522170161,6.537793678,6.294025396,6.052376742,6.076265052,6.097803465,5.848652816,5.859635105,5.597581845,5.59483783,5.584200436,5.565125215,5.274525886,5.242807523,5.203888345
4,8.509520938,7.995102999,7.880180583,7.656733331,7.134494133,7.057236804,6.701998227,6.706250742,6.455977977,6.208448664,6.215716439,5.962349062,5.971745853,5.725707385,5.741801621,5.499426488,5.521041742,5.276668944,5.291061281,5.300934025,5.039720959,5.037262486,5.027731911,5.010654233,4.986549439,4.695815507
5,7.887796101,7.256797503,6.960265584,6.828847581,6.60443259,6.34216755,6.246031168,6.160638653,5.907691043,5.914679463,5.66724026,5.673861295,5.421019616,5.429527321,5.18324051,5.197734827,5.215300649,4.973939177,4.991370184,4.741508748,4.750318007,4.753906126,4.751597065,4.215684983,4.20142691,4.181301221
6,7.038031764,6.626669399,6.50437841,6.188984351,6.046474716,5.821347895,5.814695759,5.70575672,5.62798747,5.375566514,5.381903733,5.134386139,5.140364066,4.887868439,4.895525618,4.907094496,4.661769219,4.677469022,4.695711381,4.450314205,4.199855368,3.944653876,3.684448076,3.682664776,3.67573216,3.663353512
7,6.35399908,6.006990635,5.866751409,5.759463218,5.672814271,5.523301428,5.297345021,5.291685251,5.169628433,5.099374052,4.847458146,4.853153784,4.605547638,4.610903763,4.615136108,4.108748296,4.11842532,4.12984224,3.884722165,3.639852222,3.652491521,3.662323326,3.406994297,3.409540945,3.407896358,3.401494041
8,5.807948809,5.569514503,5.485737084,5.358639101,5.262119319,5.16327632,5.005800471,4.778401625,4.773311661,4.638296611,4.575454972,4.578306205,4.074372579,4.081273459,4.086005304,3.834145107,3.84008356,3.849099888,3.602430611,3.614456276,3.628479939,3.380965942,3.12926607,3.135005075,3.137349228,3.135840699
