AGE,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
-1,354.1728066,343.399835,335.3733108,327.8853914,321.4557171,315.4478449,309.4369412,304.3850712,299.3175154,295.1070336,291.560848,287.8824844,284.5676196,281.7687842,278.9598966,277.1296728,275.1979767,273.3887008,271.9380548,270.6148215,269.986386,269.4728958,269.010133,268.8111881,268.5897926,268.4652613
0,82.46920756,80.11784747,78.38531296,76.83016377,75.34807535,73.43292621,72.24867691,71.31044319,70.1606857,69.06585887,68.24826069,67.21134262,66.45848141,65.92891524,65.60002066,64.69259373,64.22973526,63.68354971,63.56342777,63.34589951,63.03796884,62.90974108,62.94332068,62.67721984,62.60822901,62.83806262
1,26.70662769,26.11760561,25.38970016,25.00953489,24.50658615,23.77662983,23.56506905,23.09147109,22.86320143,22.64843216,22.19960217,22.01074479,21.83370083,21.66689821,20.97790285,21.03710355,20.82050794,20.83796935,20.57155494,20.53306401,20.46321035,20.61895034,20.49462902,20.34197114,20.42516729,20.48889465
2,11.99945145,11.53585134,11.25268016,11.09095973,10.93050929,10.43689592,10.19966465,10.21761018,9.980313831,9.7404057,9.75599994,9.529015853,9.304875503,9.084783744,9.121221028,8.899692834,8.669687458,8.686232832,8.693451019,8.689585021,8.673447262,8.644097099,8.602629368,8.551071273,8.487756411,8.418967438
3,10.04148088,9.730726472,9.267094741,8.994871708,8.518634513,8.399458482,8.156778221,8.166709769,7.933094266,7.694302865,7.701815517,7.465239976,7.483321547,7.504662271,7.279509311,7.308569045,7.33461394,7.101489157,7.114969005,7.120831611,7.117700068,7.104552369,7.080639635,7.046852762,7.004824573,6.953230831
4,9.272115735,8.792817456,8.705714213,8.486113687,7.97906101,7.7266751,7.62077078,7.379638103,7.388562013,7.154699404,7.163146845,6.92286201,6.933816719,6.702296405,6.721300049,6.744334759,6.520359824,6.543464966,6.56166323,6.574056749,6.579430171,6.576551054,6.564463027,6.542493495,6.511427555,6.472781952
5,8.937780114,8.301893754,8.038566204,7.699155499,7.480478365,7.221728737,7.196681585,7.099099761,6.858668561,6.866927528,6.633116201,6.640931009,6.401142358,6.411212718,6.426600193,6.196854229,6.218000614,6.24261031,6.014035255,6.030703821,6.042045081,6.046977456,6.044327587,6.033250753,6.013161307,5.98471653
6,8.162422607,7.961569038,7.348441269,7.298428013,7.18907261,6.971975064,6.716432231,6.676458806,6.586233309,6.346308279,6.353938831,6.120040931,6.127225715,6.133118102,5.897008742,5.911111658,5.927740839,5.947852206,5.971322723,5.742606394,5.758464944,5.769254888,5.773947447,5.771426421,5.760888079,5.741789241
7,7.763268821,7.17034346,6.99564055,6.861675484,6.801412818,6.68552941,6.468576494,6.215493552,6.160237637,6.077276213,6.081104912,5.844855614,5.854836644,5.861686187,5.867303595,5.631602595,5.644996018,5.660834776,5.67998706,5.454367399,5.473433323,5.488494743,5.498742163,5.503198734,5.500804493,5.490796053
8,6.97962671,6.763440224,6.664651403,6.503581615,6.381162807,6.310740881,6.18731624,5.969842742,5.956926655,5.89390239,5.814791619,5.576007651,5.582639448,5.592140854,5.598674818,5.360369086,5.368688588,5.38141382,5.396462129,5.414671545,5.188766074,5.20684179,5.221120676,5.230835526,5.235060446,5.23279066
9,6.958094874,6.71116006,6.495748292,6.4018665,6.24915376,6.133422382,6.057718407,5.930487569,5.712809905,5.700516253,5.629838142,5.554515761,5.557992212,5.322642886,5.331659515,5.337868904,5.342937669,5.351216125,5.363845487,5.134304858,5.151572763,5.171643142,5.189599548,5.203783894,5.213434275,5.217618157
10,7.374546879,6.927357992,6.683470822,6.709182115,6.377905047,6.227806232,6.113659727,6.038128459,5.910934046,5.931127745,5.918406481,5.854586703,5.776506946,5.539285577,5.545803515,5.555179843,5.561641119,5.324852296,5.33307476,5.345618537,5.360453982,5.378420798,5.399302999,5.417985248,5.432756062,5.442809677
11,8.194890354,7.846889468,7.636342586,7.369442014,6.921934896,6.825785936,6.666651341,6.545300249,6.481046411,6.36225252,6.383899333,6.134332443,6.0772836,5.996498045,6.00024001,6.007276013,5.776673791,5.783369439,5.788809748,5.797717632,5.811306866,5.827378481,5.603209908,5.624902176,5.644282587,5.659615934
12,9.949686854,9.208296939,8.820308887,8.585743985,8.288673173,8.086160418,7.975332765,7.790544341,7.649172933,7.382517046,7.280319301,7.069361036,6.819157129,6.782970384,6.693112429,6.697274807,6.705117322,6.476474207,6.483939642,6.490017992,6.499970509,6.51515316,6.533124757,6.554821982,6.33640202,6.358141906
13,12.44192042,11.773095,11.52135575,11.03946609,10.74953582,10.38143516,9.953066552,9.584040936,9.134390867,8.969183008,8.736887484,8.425240617,8.453690799,8.201417439,8.206960226,8.098602872,8.10360217,7.874457289,7.887556901,7.896635435,7.903992834,7.67618954,7.694074,7.715202928,7.740733797,7.770488897
