group,Tax
16,884.108059
17,1490.856927
18,2463.268062
19,3799.952558
20,5333.528953
21,6805.71123
22,8357.400389
23,9878.056204
24,11266.03725
25,12673.69376
26,14020.34545
27,15317.23982
28,16362.93193
29,17356.02698
30,18198.44174
31,18996.65437
32,19668.03528
33,20286.58275
34,20884.0133
35,21520.59543
36,21906.74552
37,22371.02932
38,22824.1999
39,23185.29862
40,23349.437
41,23713.01367
42,23907.09922
43,24172.67211
44,24269.70727
45,24466.10523
46,24492.63278
47,24354.13709
48,24233.56398
49,24031.90225
50,23687.24569
51,23192.70932
52,22905.20522
53,22384.25216
54,21845.73683
55,21226.52066
56,20679.73745
57,19864.00887
58,18905.43361
59,18168.75904
60,17184.50114
61,16156.16852
62,15088.24193
63,14145.47447
64,12938.88951
65,11995.86125
66,11129.37911
67,10485.33778
68,9838.861215
69,9364.682447
70,8998.226769
71,8657.37836
72,8338.340781
73,8116.207569
74,7881.109493
75,7660.845664
76,7441.486455
77,7176.274116
78,6940.886703
79,6745.304622
80,6541.992623
81,6335.981752
82,6145.099233
83,5940.667991
84,5697.412743
85,5490.796244
86,5337.976626
87,5179.71446
88,5001.484206
89,4882.63853
90,4719.082522
91,4489.509966
92,4318.420894
93,4177.971495
94,4065.505884
95,4002.755534
96,4055.00124
97,3968.233104
98,4091.905935
99,3879.605833
100,3622.36513
101+,3143.27646
